SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation_dem;nomeTemp;idSensoreTemp;nomePrec;idSensorePrec;distanzakm_sensoreTemp_sensorePrec
156;NA;Pellezzano;986223.610944177;4524596.808827047;374.91455078125;NA;NA;Pellezzano;18925;NA
157;NA;Perito-ostigliano;1022776.9240674272;4481595.351539393;314.478271484375;NA;NA;Perito-ostigliano;51707;NA
158;NA;Piani di prato;976354.0328431708;4535790.659666649;860.9732666015625;NA;NA;Piani di prato;15280;NA
159;NA;Pietramelara;936420.1562683962;4581248.394092484;175.47283935546875;NA;NA;Pietramelara;18887;NA
160;NA;Ponte camerelle;980127.1110669262;4524818.08086113;88.00305938720703;NA;NA;Ponte camerelle;12298;NA
161;NA;Ponte valentino;989864.5040451335;4570927.666083475;139.45266723632812;NA;NA;Ponte valentino;20912;NA
162;NA;Ponte venticinque archi;928737.4205727386;4609090.00209528;223.88258361816406;NA;NA;Ponte venticinque archi;21364;NA
163;NA;Pontecagnano;996160.4878795957;4515648.010226901;20.630653381347656;NA;NA;Pontecagnano;21530;NA
164;NA;Pozzuoli;933079.0472403213;4532562.413257809;70.825531005859375;NA;NA;Pozzuoli;18953;NA
165;NA;Quattroventi;936087.2598621899;4591044.534327144;108.75590515136719;NA;NA;Quattroventi;21452;NA
166;NA;Quindici 2;976138.4359905284;4539123.194715536;266.49603271484375;NA;NA;Quindici 2;15282;NA
167;NA;Quindici;976934.6215061251;4538090.235529845;420.9800109863281;NA;NA;Quindici;38485;NA
168;NA;Ravello-sambuco;974349.6522035227;4517876.5938317;566.06732177734375;NA;NA;Ravello-sambuco;51659;NA
169;NA;Rocca d'evandro;908763.0389640692;4595361.12494898;24.80475425720215;NA;NA;Rocca d'evandro;36924;NA
170;NA;Roccagloriosa;1049203.3462630874;4460461.934512901;398.8101501464844;NA;NA;Roccagloriosa;51675;NA
171;NA;Rofrano;1047698.914811591;4471646.491397985;534.899658203125;NA;NA;Rofrano;38528;NA
172;NA;Rofrano-fistole faraone;1045604.6767266479;4474938.203718026;548.02801513671875;NA;NA;Rofrano-fistole faraone;51691;NA
