Stazione;gradi_lat;primi_lat;secondi_lat;gradi_lon;primi_lon;secondi_lon;quota;lon;lat
LETINO (Bacino Enel)                                   ;41;26;46;14;14;18;900;14.23743604154367;41.445133191846914
LETINO / LETINO (Paese)                                ;41;27;18.3;14;15;12.4;1017;14.252572344111721;41.45409578416724
LICOLA / LICOLA (Bonif.Op.Naz.Combattenti)             ;40;52;27.1;14;2;58.9;3;14.048818466352303;40.873186197149806
LUOGOSANO                                              ;40;59;11.4;14;59;27.9;396;14.990226952346541;40.985513541766494
MAIORI                                                 ;40;39;8.2;14;38;35.9;26;14.642445032403085;40.65128731226666
MAIORI (Frazione Vecite)                               ;40;39;56.8;14;38;45;75;14.644963912026942;40.6647720650446
MASSALUBRENSE (Fraz. Termini)                          ;40;35;26.7;14;20;20.9;292;14.338266133761197;40.58973984496373
MASSALUBRENSE (Frazione Nerano)                        ;40;35;13.7;14;20;53;172;14.34718774610743;40.58613307097563
MASSALUBRENSE (Frazione Turro)                         ;40;36;13.9;14;21;10.2;250;14.351965655860571;40.60285312053754
MATERDOMINI (Casa priv.) /MATERDOMINI                  ;40;49;4.2;15;14;18.1;560;15.23751681469486;40.81684986806615
MATERDOMINI (Gen. Civ.) / MATERDOMINI / (Acq. Pugliese);40;49;2.1;15;14;1.9;525;15.233020703281527;40.81624646208392
MERANGELI DEI LIBERI                                   ;41;14;0.1;14;16;53.3;525;14.280590628982859;41.23237370177976
MERCATO SAN SEVERINO / SAN SEVERINO ROTA               ;40;47;10;14;45;38.9;149;14.759950560392676;40.78512580983948
MIGNANO (Montelungo)                                   ;41;25;27;13;58;8.9;156;13.968268191088637;41.423190834296335
MIGNANO MONTELUNGO (Enel)                              ;41;24;6;13;58;10.9;188;13.96881564735621;41.40068640500703
MINORI                                                 ;40;39;3.1;14;37;35.9;32;14.625775400512008;40.64984715487151
MINTURNO (Pantano di Sessa)/PANTANO DI SESSA           ;41;14;17.4;13;46;12.4;5;13.769211403801487;41.237176475647125
MINTURNO (Punta Fiume)                                 ;41;13;37.3;13;46;2.2;1;13.766378277324431;41.22602185602313
MIRANDA                                                ;41;38;6;14;14;10.9;672;14.23548990278915;41.6340197926882
MONDRAGONE (Idrovora del Mazzafarro)                   ;41;4;56.1;13;55;48.9;1;13.929373336232933;41.08124152294702
